[INFO ] 2015-11-23 21:22:22,140 com.readtxt.Sentence - *************合成进度*************3
[INFO ] 2015-11-23 21:22:22,143 com.readtxt.Sentence - *************合成进度*************50
[INFO ] 2015-11-23 21:22:22,655 com.readtxt.Sentence - *************合成进度*************74
[INFO ] 2015-11-23 21:22:22,657 com.readtxt.Sentence - *************合成进度*************85
[INFO ] 2015-11-23 21:22:23,160 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:22:23,166 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:22:23,166 com.readtxt.Sentence - 合成音频生成路径：9_2.wav
[INFO ] 2015-11-23 21:22:23,203 com.readtxt.Sentence - 成功删除文件9_2.wav
[INFO ] 2015-11-23 21:22:23,203 com.readtxt.Sentence - comein !!!!!!!!!
[INFO ] 2015-11-23 21:22:23,225 com.readtxt.Sentence - 无法删除文件1_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,225 com.readtxt.Sentence - 无法删除文件2_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,225 com.readtxt.Sentence - 无法删除文件2_2.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,226 com.readtxt.Sentence - 无法删除文件2_3.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,226 com.readtxt.Sentence - 无法删除文件2_4.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,227 com.readtxt.Sentence - 成功删除文件3_1.wav
[INFO ] 2015-11-23 21:22:23,227 com.readtxt.Sentence - 无法删除文件4_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,228 com.readtxt.Sentence - 无法删除文件5_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,228 com.readtxt.Sentence - 无法删除文件6_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,229 com.readtxt.Sentence - 无法删除文件7_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,229 com.readtxt.Sentence - 无法删除文件8_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,229 com.readtxt.Sentence - 无法删除文件9_1.wav，可能被占用
[INFO ] 2015-11-23 21:22:23,230 com.readtxt.Sentence - 无法删除文件9_2.wav，可能被占用
[INFO ] 2015-11-23 21:24:58,031 com.readtxt.Sentence - *************合成进度*************23
[INFO ] 2015-11-23 21:24:58,257 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:24:58,264 com.readtxt.Sentence - Thread-3
[INFO ] 2015-11-23 21:24:58,265 com.readtxt.Sentence - *************合成成功*************
